YEAR,AGE,TOTAL,ELEUND,JUN,SEI,SEIDU,PRO,UNV,UNVS
100,TOTAL,220349,603,13420,16841,55202,19878,102262,12144
100,15~19,15531,0,2667,2729,9242,67,826,0
100,20~24,93204,158,5012,7317,22335,7166,49920,1296
100,25~29,111614,445,5741,6795,23625,12645,51516,10848
101,TOTAL,220832,144,13014,16852,49096,17591,110037,14100
101,15~19,13279,0,3126,2227,6804,382,740,0
101,20~24,99790,58,4421,7959,23210,5981,56807,1356
101,25~29,107763,86,5467,6666,19082,11228,52490,12744
102,TOTAL,223450,58,13936,16182,47527,14947,115603,15196
102,15~19,12371,0,2049,2073,7119,558,571,0
102,20~24,106223,0,6457,7670,22707,5842,61156,2392
102,25~29,104856,58,5430,6439,17701,8547,53876,12804
103,TOTAL,209114,54,11931,15630,42447,13409,112235,13408
103,15~19,10714,39,2246,1623,6412,69,326,0
103,20~24,101165,15,4515,7111,22296,5641,59848,1739
103,25~29,97235,0,5170,6896,13739,7699,52061,11669
104,TOTAL,200994,116,6835,15969,41682,11532,110011,14850
104,15~19,10782,0,1023,2560,6407,219,572,0
104,20~24,98170,0,2509,7676,21323,5681,59266,1716
104,25~29,92042,116,3303,5733,13952,5632,50173,13134
105,TOTAL,206885,19,8347,13856,41433,10167,118486,14580
105,15~19,11196,0,2365,2383,5779,43,627,0
105,20~24,101050,0,2946,5679,18781,6461,64447,2737
105,25~29,94639,19,3036,5794,16873,3663,53412,11843
106,TOTAL,205441,46,5910,15859,43576,11357,116895,11798
106,15~19,10670,0,940,2040,7246,0,444,0
106,20~24,101769,0,2237,6011,22393,6308,62774,2045
106,25~29,93002,46,2733,7808,13937,5049,53677,9753
