學類代碼,學類名稱,畢業年度,到職年,碩士,學士,專科
1401,綜合教育學類,99,102,"62,984","37,423",
1402,普通科目教育學類,99,102,"59,134","34,327",
1403,專業科目教育學類,99,102,"61,391","34,619",
1404,學前教育學類,99,102,"55,313","32,645",
1405,成人教育學類,99,102,"59,813","30,753",
1406,特殊教育學類,99,102,"66,102","44,859",
1407,教育行政學類,99,102,"66,018","31,545",
1408,教育科技學類,99,102,"58,938","28,474",
1409,教育測驗評量學類,99,102,"47,509",,
1499,其他教育學類,99,102,"57,360","37,638",
2101,美術學類,99,102,"43,291","29,377",
2102,雕塑藝術學類,99,102,,"33,485",
2103,美術工藝學類,99,102,"36,358","24,842","24,549"
2104,音樂學類,99,102,"53,083","31,875",
2105,戲劇舞蹈學類,99,102,"47,729","30,066",
2106,視覺藝術學類,99,102,"40,805","29,914",
2107,綜合藝術學類,99,102,"50,547","29,871",
2108,民俗藝術學類,99,102,"51,370","28,217",
2109,應用藝術學類,99,102,"43,385","30,450",
2110,藝術行政學類,99,102,"47,623","27,005",
2201,台灣語文學類,99,102,"48,052","28,427",
2202,中國語文學類,99,102,"52,560","31,029",
2203,外國語文學類,99,102,"47,592","30,313","25,862"
2204,其他語文學類,99,102,"49,673","35,684",
2205,翻譯學類,99,102,"47,587","30,426",
2207,語言學類,99,102,"49,418","28,770",
2208,宗教學類,99,102,"54,214","27,366",
2209,歷史學類,99,102,"53,666","30,347",
2210,人類學學類,99,102,"40,822","30,988",
2211,哲學學類,99,102,"46,822","30,394",
2212,文獻學學類,99,102,"50,808",,
2299,其他人文學類,99,102,"50,279","33,020",
2301,綜合設計學類,99,102,"39,660","26,527",
2302,視覺傳達設計學類,99,102,"33,878","26,718","27,480"
2303,產品設計學類,99,102,"37,517","27,422","17,816"
2304,空間設計學類,99,102,"31,139","25,609","21,325"
2399,其他設計學類,99,102,"42,539","26,060",
3101,經濟學類,99,102,"45,020","34,767",
3102,政治學類,99,102,"44,335","35,703",
3103,社會學類,99,102,"61,633","31,375",
3104,民族學類,99,102,"36,710","33,736",
3105,心理學類,99,102,"50,558","32,759",
3106,地理學類,99,102,"58,344","38,614",
3107,區域研究學類,99,102,"51,558","31,782",
3108,公共行政學類,99,102,"50,556","31,277",
3109,國際事務學類,99,102,"52,203","29,818",
3110,綜合社會及行為科學學類,99,102,"54,670","33,569",
3201,一般大眾傳播學類,99,102,"41,084","28,330",
3202,新聞學類,99,102,"40,529","32,970",
3203,廣播電視學類,99,102,"42,183","29,889",
3204,公共關係學類,99,102,"39,786","31,843",
3205,博物館學類,99,102,"41,698",,
3206,圖書資訊檔案學類,99,102,"45,942","31,247",
3207,圖文傳播學類,99,102,"37,823","29,788",
3208,廣告學類,99,102,"49,555","32,026",
3299,其他傳播及資訊學類,99,102,,,
3401,一般商業學類,99,102,"49,954","26,983",
3402,會計學類,99,102,"45,472","32,899","23,763"
3403,企業管理學類,99,102,"47,960","29,887","24,762"
3404,貿易學類,99,102,"45,938","30,020","25,730"
3405,財務金融學類,99,102,"49,353","32,166","22,887"
3406,風險管理學類,99,102,"48,563","31,954",
3407,財政學類,99,102,"48,447","31,251",
3408,行銷與流通學類,99,102,"42,853","27,545","24,773"
3409,醫管學類,99,102,"48,199","27,648",
3499,其他商業及管理學類,99,102,"60,023","30,508","24,435"
3801,一般法律學類,99,102,"74,471","35,693",
3802,專業法律學類,99,102,"59,542","28,534",
3899,其他法律學類,99,102,"59,388","37,723",
4201,生物學類,99,102,"43,082","30,943",
4202,生態學類,99,102,"43,466","26,013",
4203,生物科技學類,99,102,"40,834","27,437",
4204,微生物學類,99,102,"44,757","34,995",
4205,生物化學學類,99,102,"45,701","30,521",
4206,生物訊息學類,99,102,"47,096","27,720",
4299,其他生命科學類,99,102,"64,234","29,844",
4401,化學學類,99,102,"52,891","33,991",
4402,地球科學學類,99,102,"41,476","32,894",
4403,物理學類,99,102,"57,053","32,837",
4404,大氣科學學類,99,102,"51,146","31,585",
4405,海洋科學學類,99,102,"43,046","28,197",
